Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000314_21I6LW_20150612_145644E	2015-06-12_14-56-44	Indoors	
B00000315_21I6LW_20150612_145715E	2015-06-12_14-57-15	Indoors	
B00000316_21I6LW_20150612_145746E	2015-06-12_14-57-46	Indoors	
B00000317_21I6LW_20150612_145817E	2015-06-12_14-58-17	Indoors	
B00000318_21I6LW_20150612_145848E	2015-06-12_14-58-48	Indoors	
B00000319_21I6LW_20150612_145919E	2015-06-12_14-59-19	Indoors	
B00000320_21I6LW_20150612_145950E	2015-06-12_14-59-50	Indoors	
B00000321_21I6LW_20150612_150021E	2015-06-12_15-00-21	Indoors	
B00000322_21I6LW_20150612_150052E	2015-06-12_15-00-52	Indoors	
B00000323_21I6LW_20150612_150123E	2015-06-12_15-01-23	Indoors	
B00000324_21I6LW_20150612_150158E	2015-06-12_15-01-58	Indoors	
B00000325_21I6LW_20150612_150229E	2015-06-12_15-02-29	Indoors	
B00000326_21I6LW_20150612_150302E	2015-06-12_15-03-01	Indoors	
B00000327_21I6LW_20150612_150342E	2015-06-12_15-03-42	Indoors	
B00000328_21I6LW_20150612_150420E	2015-06-12_15-04-19	Indoors	
B00000329_21I6LW_20150612_150439E	2015-06-12_15-04-34	Indoors	
B00000330_21I6LW_20150612_150440E	2015-06-12_15-04-37	Indoors	
B00000331_21I6LW_20150612_150513E	2015-06-12_15-04-50	Indoors	
B00000332_21I6LW_20150612_150514E	2015-06-12_15-04-53	Indoors	
B00000333_21I6LW_20150612_150514E	2015-06-12_15-04-56	Indoors	
B00000334_21I6LW_20150612_150514E	2015-06-12_15-04-58	Indoors	
B00000335_21I6LW_20150612_150515E	2015-06-12_15-05-01	Indoors	
B00000336_21I6LW_20150612_150516E	2015-06-12_15-05-04	Indoors	
B00000337_21I6LW_20150612_150517E	2015-06-12_15-05-07	Indoors	
B00000338_21I6LW_20150612_150518E	2015-06-12_15-05-10	Indoors	
B00000339_21I6LW_20150612_150519E	2015-06-12_15-05-13	Indoors	
B00000340_21I6LW_20150612_150526E	2015-06-12_15-05-26	Indoors	
B00000341_21I6LW_20150612_150604E	2015-06-12_15-06-03	Indoors	
B00000342_21I6LW_20150612_150644E	2015-06-12_15-06-43	Indoors	
B00000343_21I6LW_20150612_150717E	2015-06-12_15-07-16	Indoors	
B00000344_21I6LW_20150612_150756E	2015-06-12_15-07-55	Indoors	
B00000345_21I6LW_20150612_150831E	2015-06-12_15-08-31	Indoors	
B00000346_21I6LW_20150612_150911E	2015-06-12_15-09-10	Indoors	
B00000347_21I6LW_20150612_150951E	2015-06-12_15-09-51	Indoors	
B00000348_21I6LW_20150612_151024E	2015-06-12_15-10-24	Indoors	
B00000349_21I6LW_20150612_151103E	2015-06-12_15-11-03	Indoors	
B00000350_21I6LW_20150612_151140E	2015-06-12_15-11-40	Indoors	
B00000351_21I6LW_20150612_151214E	2015-06-12_15-12-14	Indoors	
B00000352_21I6LW_20150612_151332E	2015-06-12_15-13-32	Indoors	
B00000353_21I6LW_20150612_151410E	2015-06-12_15-14-10	Indoors	
B00000354_21I6LW_20150612_151440E	2015-06-12_15-14-40	Indoors	
B00000355_21I6LW_20150612_151513E	2015-06-12_15-15-12	Indoors	
B00000356_21I6LW_20150612_151548E	2015-06-12_15-15-47	Indoors	
B00000357_21I6LW_20150612_151622E	2015-06-12_15-16-22	Indoors	
B00000358_21I6LW_20150612_151656E	2015-06-12_15-16-56	Indoors	
B00000359_21I6LW_20150612_151727E	2015-06-12_15-17-27	Indoors	
B00000360_21I6LW_20150612_151758E	2015-06-12_15-17-58	Indoors	
B00000361_21I6LW_20150612_151829E	2015-06-12_15-18-29	Indoors	
B00000362_21I6LW_20150612_151906E	2015-06-12_15-19-06	Indoors	
B00000363_21I6LW_20150612_151945E	2015-06-12_15-19-45	Indoors	
B00000364_21I6LW_20150612_152023E	2015-06-12_15-20-22	Indoors	
B00000365_21I6LW_20150612_152055E	2015-06-12_15-20-55	Indoors	
B00000366_21I6LW_20150612_152131E	2015-06-12_15-21-30	Indoors	
B00000367_21I6LW_20150612_152207E	2015-06-12_15-22-07	Indoors	
B00000368_21I6LW_20150612_152242E	2015-06-12_15-22-42	Indoors	
B00000369_21I6LW_20150612_152316E	2015-06-12_15-23-15	Indoors	
B00000370_21I6LW_20150612_152348E	2015-06-12_15-23-47	Outdoors	
B00000371_21I6LW_20150612_152423E	2015-06-12_15-24-23	Outdoors	
B00000372_21I6LW_20150612_152455E	2015-06-12_15-24-55	Outdoors	
B00000373_21I6LW_20150612_152528E	2015-06-12_15-25-28	Outdoors	
B00000374_21I6LW_20150612_152601E	2015-06-12_15-26-01	Outdoors	
B00000375_21I6LW_20150612_152637E	2015-06-12_15-26-37	Outdoors	
B00000376_21I6LW_20150612_152712E	2015-06-12_15-27-12	Outdoors	
B00000377_21I6LW_20150612_152748E	2015-06-12_15-27-48	Outdoors	
B00000378_21I6LW_20150612_152829E	2015-06-12_15-28-29	Outdoors	
B00000379_21I6LW_20150612_152910E	2015-06-12_15-29-09	Outdoors	
B00000380_21I6LW_20150612_152947E	2015-06-12_15-29-47	Indoors	
B00000381_21I6LW_20150612_153022E	2015-06-12_15-30-22	Indoors	
B00000382_21I6LW_20150612_153103E	2015-06-12_15-31-02	Indoors	
B00000383_21I6LW_20150612_153135E	2015-06-12_15-31-34	Indoors	
B00000384_21I6LW_20150612_153204E	2015-06-12_15-32-04	Indoors	
B00000385_21I6LW_20150612_153241E	2015-06-12_15-32-41	Indoors	
B00000386_21I6LW_20150612_153314E	2015-06-12_15-33-13	Indoors	
B00000387_21I6LW_20150612_153343E	2015-06-12_15-33-42	Indoors	
B00000388_21I6LW_20150612_153422E	2015-06-12_15-34-22	Indoors	
B00000389_21I6LW_20150612_153500E	2015-06-12_15-34-59	Indoors	
B00000390_21I6LW_20150612_153533E	2015-06-12_15-35-32	Indoors	
B00000391_21I6LW_20150612_153608E	2015-06-12_15-36-08	Indoors	
B00000392_21I6LW_20150612_153637E	2015-06-12_15-36-37	Indoors	
B00000393_21I6LW_20150612_153707E	2015-06-12_15-37-06	Indoors	
B00000394_21I6LW_20150612_153742E	2015-06-12_15-37-42	Indoors	
B00000395_21I6LW_20150612_153811E	2015-06-12_15-38-10	Indoors	
B00000396_21I6LW_20150612_153846E	2015-06-12_15-38-45	Indoors	
B00000397_21I6LW_20150612_153917E	2015-06-12_15-39-16	Indoors	
B00000398_21I6LW_20150612_153948E	2015-06-12_15-39-47	Indoors	
B00000399_21I6LW_20150612_154033E	2015-06-12_15-40-32	Indoors	
B00000400_21I6LW_20150612_154103E	2015-06-12_15-41-03	Indoors	
B00000401_21I6LW_20150612_154136E	2015-06-12_15-41-35	Indoors	
B00000402_21I6LW_20150612_154206E	2015-06-12_15-42-06	Indoors	
B00000403_21I6LW_20150612_154243E	2015-06-12_15-42-43	Indoors	
B00000404_21I6LW_20150612_154331E	2015-06-12_15-43-31	Indoors	
B00000405_21I6LW_20150612_154411E	2015-06-12_15-44-11	Indoors	
B00000406_21I6LW_20150612_154444E	2015-06-12_15-44-43	Indoors	
B00000407_21I6LW_20150612_154521E	2015-06-12_15-45-20	Indoors	
B00000408_21I6LW_20150612_154602E	2015-06-12_15-46-01	Indoors	
B00000409_21I6LW_20150612_154641E	2015-06-12_15-46-40	Indoors	
B00000410_21I6LW_20150612_154717E	2015-06-12_15-47-16	Indoors	
B00000411_21I6LW_20150612_154757E	2015-06-12_15-47-57	Indoors	
B00000412_21I6LW_20150612_154858E	2015-06-12_15-48-58	Indoors	
B00000413_21I6LW_20150612_155018E	2015-06-12_15-50-17	Indoors	
B00000414_21I6LW_20150612_155144E	2015-06-12_15-51-43	Indoors	
B00000415_21I6LW_20150612_155306E	2015-06-12_15-53-05	Indoors	
B00000416_21I6LW_20150612_155419E	2015-06-12_15-54-19	Indoors	
B00000417_21I6LW_20150612_155450E	2015-06-12_15-54-49	Indoors	
B00000418_21I6LW_20150612_155520E	2015-06-12_15-55-19	Indoors	
B00000419_21I6LW_20150612_155601E	2015-06-12_15-56-00	Indoors	
B00000420_21I6LW_20150612_155634E	2015-06-12_15-56-33	Indoors	
B00000421_21I6LW_20150612_155705E	2015-06-12_15-57-04	Indoors	
B00000422_21I6LW_20150612_155740E	2015-06-12_15-57-40	Indoors	
B00000423_21I6LW_20150612_155821E	2015-06-12_15-58-20	Indoors	
B00000424_21I6LW_20150612_155858E	2015-06-12_15-58-57	Indoors	
B00000425_21I6LW_20150612_155935E	2015-06-12_15-59-34	Indoors	
B00000426_21I6LW_20150612_160012E	2015-06-12_16-00-11	Indoors	
B00000427_21I6LW_20150612_160053E	2015-06-12_16-00-52	Indoors	
B00000428_21I6LW_20150612_160137E	2015-06-12_16-01-37	Indoors	
B00000429_21I6LW_20150612_160209E	2015-06-12_16-02-08	Indoors	
B00000430_21I6LW_20150612_160249E	2015-06-12_16-02-48	Indoors	
B00000431_21I6LW_20150612_160321E	2015-06-12_16-03-20	Indoors	
B00000432_21I6LW_20150612_160407E	2015-06-12_16-04-06	Indoors	
B00000433_21I6LW_20150612_160455E	2015-06-12_16-04-54	Indoors	
B00000434_21I6LW_20150612_160531E	2015-06-12_16-05-31	Indoors	
B00000435_21I6LW_20150612_160609E	2015-06-12_16-06-08	Outdoors	
B00000436_21I6LW_20150612_160640E	2015-06-12_16-06-39	Indoors	
B00000437_21I6LW_20150612_160800E	2015-06-12_16-08-00	Indoors	
B00000438_21I6LW_20150612_160836E	2015-06-12_16-08-36	Indoors	
B00000439_21I6LW_20150612_160916E	2015-06-12_16-09-16	Indoors	
B00000440_21I6LW_20150612_160949E	2015-06-12_16-09-49	Indoors	
B00000441_21I6LW_20150612_161029E	2015-06-12_16-10-28	Indoors	
B00000442_21I6LW_20150612_161111E	2015-06-12_16-11-11	Indoors	
B00000443_21I6LW_20150612_161146E	2015-06-12_16-11-46	Outdoors	
B00000444_21I6LW_20150612_161220E	2015-06-12_16-12-19	Outdoors	
B00000445_21I6LW_20150612_161258E	2015-06-12_16-12-58	Outdoors	
B00000446_21I6LW_20150612_161331E	2015-06-12_16-13-31	Indoors	
B00000447_21I6LW_20150612_161410E	2015-06-12_16-14-10	Indoors	
B00000448_21I6LW_20150612_161446E	2015-06-12_16-14-46	Outdoors	
B00000449_21I6LW_20150612_161525E	2015-06-12_16-15-25	Indoors	
B00000450_21I6LW_20150612_161603E	2015-06-12_16-16-03	Outdoors	
B00000451_21I6LW_20150612_161636E	2015-06-12_16-16-36	Indoors	
B00000452_21I6LW_20150612_161708E	2015-06-12_16-17-07	Indoors	
B00000453_21I6LW_20150612_161741E	2015-06-12_16-17-41	Indoors	
B00000454_21I6LW_20150612_161817E	2015-06-12_16-18-16	Indoors	
B00000455_21I6LW_20150612_161857E	2015-06-12_16-18-56	Indoors	
B00000456_21I6LW_20150612_161927E	2015-06-12_16-19-26	Indoors	
B00000457_21I6LW_20150612_161958E	2015-06-12_16-19-57	Indoors	
B00000458_21I6LW_20150612_162033E	2015-06-12_16-20-33	Indoors	
B00000459_21I6LW_20150612_162104E	2015-06-12_16-21-04	Indoors	
B00000460_21I6LW_20150612_162135E	2015-06-12_16-21-35	Indoors	
B00000461_21I6LW_20150612_162213E	2015-06-12_16-22-13	Indoors	
B00000462_21I6LW_20150612_162257E	2015-06-12_16-22-57	Indoors	
B00000463_21I6LW_20150612_162343E	2015-06-12_16-23-42	Indoors	
B00000464_21I6LW_20150612_162422E	2015-06-12_16-24-21	Indoors	
B00000465_21I6LW_20150612_162453E	2015-06-12_16-24-52	Indoors	
B00000466_21I6LW_20150612_162524E	2015-06-12_16-25-24	Indoors	
B00000467_21I6LW_20150612_162555E	2015-06-12_16-25-54	Indoors	
B00000468_21I6LW_20150612_162635E	2015-06-12_16-26-34	Indoors	
B00000469_21I6LW_20150612_162709E	2015-06-12_16-27-08	Indoors	
B00000470_21I6LW_20150612_162742E	2015-06-12_16-27-41	Indoors	
B00000471_21I6LW_20150612_162928E	2015-06-12_16-29-27	Indoors	
B00000472_21I6LW_20150612_163006E	2015-06-12_16-30-05	Indoors	
B00000473_21I6LW_20150612_163043E	2015-06-12_16-30-42	Indoors	
B00000474_21I6LW_20150612_163122E	2015-06-12_16-31-21	Indoors	
B00000475_21I6LW_20150612_163203E	2015-06-12_16-32-02	Indoors	
B00000476_21I6LW_20150612_163234E	2015-06-12_16-32-33	Indoors	
B00000477_21I6LW_20150612_163309E	2015-06-12_16-33-08	Indoors	
B00000478_21I6LW_20150612_163340E	2015-06-12_16-33-39	Indoors	
B00000479_21I6LW_20150612_163412E	2015-06-12_16-34-11	Indoors	
B00000480_21I6LW_20150612_163455E	2015-06-12_16-34-55	Indoors	
B00000481_21I6LW_20150612_163539E	2015-06-12_16-35-39	Indoors	
B00000482_21I6LW_20150612_163630E	2015-06-12_16-36-29	Indoors	
B00000483_21I6LW_20150612_163714E	2015-06-12_16-37-13	Indoors	
B00000484_21I6LW_20150612_163750E	2015-06-12_16-37-49	Indoors	
B00000485_21I6LW_20150612_163823E	2015-06-12_16-38-23	Indoors	
B00000486_21I6LW_20150612_163902E	2015-06-12_16-39-02	Outdoors	
B00000487_21I6LW_20150612_163940E	2015-06-12_16-39-39	Indoors	
B00000488_21I6LW_20150612_164019E	2015-06-12_16-40-19	Indoors	
B00000489_21I6LW_20150612_164135E	2015-06-12_16-41-35	Indoors	
B00000490_21I6LW_20150612_164210E	2015-06-12_16-42-10	Indoors	
B00000491_21I6LW_20150612_164245E	2015-06-12_16-42-45	Indoors	
B00000492_21I6LW_20150612_164317E	2015-06-12_16-43-17	Indoors	
B00000493_21I6LW_20150612_164429E	2015-06-12_16-44-28	Indoors	
B00000494_21I6LW_20150612_164505E	2015-06-12_16-45-05	Indoors	
B00000495_21I6LW_20150612_164540E	2015-06-12_16-45-39	Indoors	
B00000496_21I6LW_20150612_164617E	2015-06-12_16-46-16	Indoors	
B00000497_21I6LW_20150612_164732E	2015-06-12_16-47-32	Outdoors	
B00000498_21I6LW_20150612_164809E	2015-06-12_16-48-09	Indoors	
B00000499_21I6LW_20150612_164847E	2015-06-12_16-48-47	Indoors	
B00000500_21I6LW_20150612_164922E	2015-06-12_16-49-21	Indoors	
B00000501_21I6LW_20150612_164955E	2015-06-12_16-49-54	Indoors	
B00000502_21I6LW_20150612_165033E	2015-06-12_16-50-32	Indoors	
B00000503_21I6LW_20150612_165112E	2015-06-12_16-51-11	Indoors	
B00000504_21I6LW_20150612_165148E	2015-06-12_16-51-48	Indoors	
B00000505_21I6LW_20150612_165222E	2015-06-12_16-52-22	Indoors	
B00000506_21I6LW_20150612_165302E	2015-06-12_16-53-01	Indoors	
B00000507_21I6LW_20150612_165340E	2015-06-12_16-53-39	Indoors	
B00000508_21I6LW_20150612_165421E	2015-06-12_16-54-20	Indoors	
B00000509_21I6LW_20150612_165456E	2015-06-12_16-54-55	Indoors	
B00000510_21I6LW_20150612_165535E	2015-06-12_16-55-34	Indoors	
B00000511_21I6LW_20150612_165612E	2015-06-12_16-56-12	Indoors	
B00000512_21I6LW_20150612_165652E	2015-06-12_16-56-51	Indoors	
B00000513_21I6LW_20150612_165726E	2015-06-12_16-57-25	Indoors	
B00000514_21I6LW_20150612_165807E	2015-06-12_16-58-06	Indoors	
B00000515_21I6LW_20150612_165840E	2015-06-12_16-58-39	Indoors	
B00000516_21I6LW_20150612_165911E	2015-06-12_16-59-10	Indoors	
B00000517_21I6LW_20150612_165946E	2015-06-12_16-59-46	Indoors	
B00000518_21I6LW_20150612_170023E	2015-06-12_17-00-23	Indoors	
B00000519_21I6LW_20150612_170101E	2015-06-12_17-01-01	Indoors	
B00000520_21I6LW_20150612_170132E	2015-06-12_17-01-32	Indoors	
B00000521_21I6LW_20150612_170209E	2015-06-12_17-02-09	Indoors	
B00000522_21I6LW_20150612_170246E	2015-06-12_17-02-46	Indoors	
B00000523_21I6LW_20150612_170328E	2015-06-12_17-03-27	Indoors	
B00000524_21I6LW_20150612_170408E	2015-06-12_17-04-07	Indoors	
B00000525_21I6LW_20150612_170448E	2015-06-12_17-04-47	Indoors	
B00000526_21I6LW_20150612_170533E	2015-06-12_17-05-33	Indoors	
B00000527_21I6LW_20150612_170616E	2015-06-12_17-06-16	Indoors	
B00000528_21I6LW_20150612_170702E	2015-06-12_17-07-01	Indoors	
B00000529_21I6LW_20150612_170750E	2015-06-12_17-07-49	Indoors	
B00000530_21I6LW_20150612_170836E	2015-06-12_17-08-35	Indoors	
B00000531_21I6LW_20150612_170908E	2015-06-12_17-09-07	Indoors	
B00000532_21I6LW_20150612_170949E	2015-06-12_17-09-48	Indoors	
B00000533_21I6LW_20150612_171028E	2015-06-12_17-10-27	Indoors	
B00000534_21I6LW_20150612_171059E	2015-06-12_17-10-58	Indoors	
B00000535_21I6LW_20150612_171134E	2015-06-12_17-11-34	Indoors	
B00000536_21I6LW_20150612_171204E	2015-06-12_17-12-04	Indoors	
B00000537_21I6LW_20150612_171235E	2015-06-12_17-12-35	Indoors	
B00000538_21I6LW_20150612_171311E	2015-06-12_17-13-11	Indoors	
B00000539_21I6LW_20150612_171348E	2015-06-12_17-13-48	Indoors	
B00000540_21I6LW_20150612_171427E	2015-06-12_17-14-27	Indoors	
B00000541_21I6LW_20150612_171513E	2015-06-12_17-15-13	Indoors	
B00000542_21I6LW_20150612_171603E	2015-06-12_17-16-03	Indoors	
B00000543_21I6LW_20150612_171650E	2015-06-12_17-16-50	Indoors	
B00000544_21I6LW_20150612_171926E	2015-06-12_17-19-25	Indoors	
B00000545_21I6LW_20150612_172007E	2015-06-12_17-20-07	Indoors	
B00000546_21I6LW_20150612_172153E	2015-06-12_17-21-52	Outdoors	
B00000547_21I6LW_20150612_172225E	2015-06-12_17-22-25	Outdoors	
B00000548_21I6LW_20150612_172300E	2015-06-12_17-23-00	Outdoors	
B00000549_21I6LW_20150612_172341E	2015-06-12_17-23-40	Outdoors	
B00000550_21I6LW_20150612_172413E	2015-06-12_17-24-13	Outdoors	
B00000551_21I6LW_20150612_172450E	2015-06-12_17-24-49	Outdoors	
B00000552_21I6LW_20150612_172524E	2015-06-12_17-25-24	Outdoors	
B00000553_21I6LW_20150612_172601E	2015-06-12_17-26-01	Outdoors	
B00000554_21I6LW_20150612_172636E	2015-06-12_17-26-36	Outdoors	
B00000555_21I6LW_20150612_172712E	2015-06-12_17-27-12	Outdoors	
B00000556_21I6LW_20150612_172746E	2015-06-12_17-27-46	Indoors	
B00000557_21I6LW_20150612_172819E	2015-06-12_17-28-18	Indoors	
B00000558_21I6LW_20150612_172856E	2015-06-12_17-28-55	Indoors	
B00000559_21I6LW_20150612_173010E	2015-06-12_17-30-10	Indoors	
B00000560_21I6LW_20150612_173047E	2015-06-12_17-30-47	Indoors	
B00000561_21I6LW_20150612_173127E	2015-06-12_17-31-27	Indoors	
B00000562_21I6LW_20150612_173206E	2015-06-12_17-32-06	Indoors	
B00000563_21I6LW_20150612_173240E	2015-06-12_17-32-39	Outdoors	
B00000564_21I6LW_20150612_173318E	2015-06-12_17-33-18	Outdoors	
B00000565_21I6LW_20150612_173351E	2015-06-12_17-33-51	Indoors	
B00000566_21I6LW_20150612_173434E	2015-06-12_17-34-34	Indoors	
B00000567_21I6LW_20150612_173511E	2015-06-12_17-35-11	Indoors	
B00000568_21I6LW_20150612_173548E	2015-06-12_17-35-48	Indoors	
B00000569_21I6LW_20150612_173625E	2015-06-12_17-36-25	Outdoors	
B00000570_21I6LW_20150612_173705E	2015-06-12_17-37-04	Indoors	
B00000571_21I6LW_20150612_173740E	2015-06-12_17-37-40	Indoors	
B00000572_21I6LW_20150612_173818E	2015-06-12_17-38-17	Indoors	
B00000573_21I6LW_20150612_173856E	2015-06-12_17-38-55	Indoors	
B00000574_21I6LW_20150612_173926E	2015-06-12_17-39-26	Indoors	
B00000575_21I6LW_20150612_174000E	2015-06-12_17-40-00	Outdoors	
B00000576_21I6LW_20150612_174108E	2015-06-12_17-41-08	Indoors	
B00000577_21I6LW_20150612_174149E	2015-06-12_17-41-49	Outdoors	
B00000578_21I6LW_20150612_174229E	2015-06-12_17-42-28	Outdoors	
B00000579_21I6LW_20150612_174301E	2015-06-12_17-43-01	Indoors	
B00000580_21I6LW_20150612_174335E	2015-06-12_17-43-35	Indoors	
B00000581_21I6LW_20150612_174408E	2015-06-12_17-44-08	Indoors	
B00000582_21I6LW_20150612_174443E	2015-06-12_17-44-43	Indoors	
B00000583_21I6LW_20150612_174520E	2015-06-12_17-45-20	Indoors	
B00000584_21I6LW_20150612_174551E	2015-06-12_17-45-50	Indoors	
B00000585_21I6LW_20150612_174624E	2015-06-12_17-46-24	Indoors	
B00000586_21I6LW_20150612_174705E	2015-06-12_17-47-05	Indoors	
B00000587_21I6LW_20150612_174738E	2015-06-12_17-47-38	Indoors	
B00000588_21I6LW_20150612_174811E	2015-06-12_17-48-11	Indoors	
B00000589_21I6LW_20150612_174842E	2015-06-12_17-48-42	Indoors	
B00000590_21I6LW_20150612_174913E	2015-06-12_17-49-13	Indoors	
B00000591_21I6LW_20150612_174944E	2015-06-12_17-49-44	Indoors	
B00000592_21I6LW_20150612_175019E	2015-06-12_17-50-18	Indoors	
B00000593_21I6LW_20150612_175054E	2015-06-12_17-50-54	Indoors	
B00000594_21I6LW_20150612_175128E	2015-06-12_17-51-27	Indoors	
B00000595_21I6LW_20150612_175158E	2015-06-12_17-51-58	Indoors	
B00000596_21I6LW_20150612_175229E	2015-06-12_17-52-29	Indoors	
B00000597_21I6LW_20150612_175300E	2015-06-12_17-52-59	Indoors	
B00000598_21I6LW_20150612_175335E	2015-06-12_17-53-34	Indoors	
B00000599_21I6LW_20150612_175408E	2015-06-12_17-54-07	Indoors	
B00000600_21I6LW_20150612_175441E	2015-06-12_17-54-40	Indoors	
B00000601_21I6LW_20150612_175514E	2015-06-12_17-55-14	Indoors	
B00000602_21I6LW_20150612_175551E	2015-06-12_17-55-50	Indoors	
B00000603_21I6LW_20150612_175625E	2015-06-12_17-56-24	Indoors	
B00000604_21I6LW_20150612_175655E	2015-06-12_17-56-54	Indoors	
B00000605_21I6LW_20150612_175729E	2015-06-12_17-57-28	Indoors	
B00000606_21I6LW_20150612_175802E	2015-06-12_17-58-02	Indoors	
B00000607_21I6LW_20150612_175841E	2015-06-12_17-58-40	Indoors	
B00000608_21I6LW_20150612_175920E	2015-06-12_17-59-19	Indoors	
B00000609_21I6LW_20150612_180001E	2015-06-12_18-00-00	Indoors	
B00000610_21I6LW_20150612_180042E	2015-06-12_18-00-41	Indoors	
B00000611_21I6LW_20150612_180118E	2015-06-12_18-01-17	Indoors	
B00000612_21I6LW_20150612_180157E	2015-06-12_18-01-56	Indoors	
B00000613_21I6LW_20150612_180228E	2015-06-12_18-02-28	Indoors	
B00000614_21I6LW_20150612_180300E	2015-06-12_18-03-00	Indoors	
B00000615_21I6LW_20150612_180341E	2015-06-12_18-03-41	Indoors	
B00000616_21I6LW_20150612_180427E	2015-06-12_18-04-27	Indoors	
B00000617_21I6LW_20150612_180512E	2015-06-12_18-05-12	Indoors	
B00000618_21I6LW_20150612_180601E	2015-06-12_18-06-01	Indoors	
B00000619_21I6LW_20150612_180644E	2015-06-12_18-06-44	Indoors	
B00000620_21I6LW_20150612_180717E	2015-06-12_18-07-17	Indoors	
B00000621_21I6LW_20150612_180748E	2015-06-12_18-07-48	Indoors	
B00000622_21I6LW_20150612_180819E	2015-06-12_18-08-19	Indoors	
B00000623_21I6LW_20150612_180900E	2015-06-12_18-09-00	Indoors	
B00000624_21I6LW_20150612_180939E	2015-06-12_18-09-39	Indoors	
B00000625_21I6LW_20150612_181015E	2015-06-12_18-10-14	Indoors	
B00000626_21I6LW_20150612_181045E	2015-06-12_18-10-45	Indoors	
B00000627_21I6LW_20150612_181121E	2015-06-12_18-11-21	Indoors	
B00000628_21I6LW_20150612_181157E	2015-06-12_18-11-57	Indoors	
B00000629_21I6LW_20150612_181234E	2015-06-12_18-12-34	Indoors	
